method,run_index,trial_index,objective_mean,objective_std,n_valid_replications,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,total_capacity
BO,0,23,1.0474951342652872,0.073441237320956,30,1,2,2,1,1,1,3,11
BO,1,24,1.3951942054339492,0.0703868268851738,30,1,4,3,1,1,2,4,16
BO,2,21,1.0786001974470618,0.1258609125795831,30,1,3,3,1,1,1,3,13
BO,3,18,1.1354895978095905,0.141572393550069,30,1,1,1,1,1,1,1,7
BO,4,28,1.2216847994467186,0.2284234631045174,30,2,3,3,1,3,1,4,17
BO,5,21,1.0709985038077343,0.1230246074724562,30,1,3,3,1,1,1,3,13
BO,6,21,1.0761009573604032,0.0847106001069656,30,1,3,3,1,1,1,3,13
BO,7,22,1.2258399566368563,0.3116038915866637,30,2,3,3,1,2,1,4,16
BO,8,29,1.1758132587356458,0.0570123570976838,30,1,2,2,1,2,1,3,12
BO,9,29,1.142139155603519,0.1354563830398164,30,1,1,1,1,1,1,1,7
BO,10,20,1.1545625113531264,0.1270384947944547,30,1,1,1,1,1,1,1,7
BO,11,15,1.723230221873617,0.1300042776300752,30,3,3,2,3,3,1,3,18
BO,12,25,1.1362982731618485,0.1485034248351061,30,1,1,1,1,1,1,1,7
BO,13,26,1.1649215920339298,0.1138923900838874,30,1,2,1,1,1,1,2,9
BO,14,16,1.1802609921679577,0.1001151154019679,30,1,1,1,1,1,1,1,7
BO,15,19,1.056557837725197,0.1399415909131734,30,1,3,2,1,1,1,3,12
BO,16,20,1.1305679948297098,0.1417893629712994,30,1,1,1,1,1,1,1,7
BO,17,3,1.0383937199690985,0.0656583911862573,30,1,2,2,1,1,1,3,11
BO,18,23,1.0490965701396229,0.090118901469227,30,1,2,2,1,1,1,3,11
BO,19,25,1.1211902917227277,0.1597741542369053,30,1,3,2,1,1,1,3,12
Random Search,0,22,1.621242651051226,0.1872667731002503,30,3,3,5,2,1,3,4,21
Random Search,1,4,1.7450109329194032,0.0312493364992973,30,1,1,1,1,4,1,3,12
Random Search,2,8,1.7663205488685445,0.0772902501454564,30,1,4,5,2,1,1,5,19
Random Search,3,25,1.7841381137442105,0.018334402000315,30,2,5,3,2,5,2,5,24
Random Search,4,8,1.913466447489659,0.0910549048593545,30,3,3,2,3,1,1,4,17
Random Search,5,15,1.8579911118686567,0.2427378803404616,30,2,5,3,3,4,1,6,24
Random Search,6,10,1.697451500339492,0.0879788298238476,30,1,4,5,1,2,2,3,18
Random Search,7,26,1.9182245036961296,0.0826397458018781,30,1,3,2,1,4,1,8,20
Random Search,8,3,1.971033792714984,0.051091686520486,30,1,2,3,2,1,3,7,19
Random Search,9,3,1.7173506765186095,0.1031728674071695,30,1,3,2,1,2,3,6,18
Random Search,10,17,1.7172932892800412,0.108118841868527,30,1,3,1,1,1,1,6,14
Random Search,11,27,1.967751194030753,0.0557900723794892,30,3,2,2,4,3,1,2,17
Random Search,12,13,1.623073016447626,0.0833742248529162,30,1,3,4,3,1,1,5,18
Random Search,13,16,1.9249318801837647,0.12987723920202,30,2,3,2,3,1,2,4,17
Random Search,14,4,1.9489718190513683,0.0708915819957556,30,1,3,5,1,3,4,3,20
Random Search,15,15,1.8054351429901612,0.0766661915867761,30,4,4,5,2,4,1,4,24
Random Search,16,19,1.50132075205694,0.0539143725344447,30,2,1,1,1,1,2,2,10
Random Search,17,27,1.6542873990853542,0.2189151355374759,30,3,5,3,2,4,1,4,22
Random Search,18,19,2.014775195247094,0.0894811630886328,30,2,2,2,1,4,5,3,19
Random Search,19,27,1.6360779232991345,0.031357546598492,30,1,1,2,3,1,1,2,11
