label,error,replication,eval_seed,episode,baseline_rule,action_random_seed,q_table_size,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t1,risk_window,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
,,0,312345,,,512345,,,312345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,487,271,163,108,0.3985239852398524,316.0556512012641,180.78463885517675,8.950989732365354,752.0457560337953,109.3254777929539,217,448.0,34,350,80,92,96,82,,1,1,1,1,1,1,1
,,1,313345,,,513345,,,313345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,562,280,152,128,0.45714285714285713,341.84047043965944,194.20824217720752,17.187548032176835,707.6808422846964,135.416784777984,282,147.0,31,357,77,84,95,101,,1,1,1,1,1,1,1
,,2,314345,,,514345,,,314345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,561,276,137,139,0.5036231884057971,374.75172370555555,227.26268597767128,12.633594345573625,852.490682239111,148.05837788147468,286,-113.0,31,359,79,105,88,87,,1,1,1,1,1,1,1
,,3,315345,,,515345,,,315345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,526,288,161,127,0.4409722222222222,335.27572305689307,201.67229830121207,11.067006805049784,699.5942686564781,124.84367175576061,239,274.0,22,359,89,91,92,87,,1,1,1,1,1,1,1
,,4,316345,,,516345,,,316345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,584,281,137,144,0.5124555160142349,372.988090440357,220.2088006183012,18.396518633717015,828.9545164347555,152.08948657422883,304,-169.0,33,357,87,86,107,77,,1,1,1,1,1,1,1
,,5,317345,,,517345,,,317345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,527,277,158,119,0.4296028880866426,341.5139569748159,199.52828090776015,10.790077922669727,885.8129840459278,126.39784038075321,251,300.0,30,352,75,91,93,93,,1,1,1,1,1,1,1
,,6,318345,,,518345,,,318345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,552,282,147,135,0.4787234042553192,354.00212554449445,205.48883818957853,8.83969723567143,815.6369928557315,130.76134924175673,271,27.0,31,360,94,89,83,94,,1,1,1,1,1,1,1
,,7,319345,,,519345,,,319345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,552,278,147,131,0.4712230215827338,345.43619356132854,200.3890973641405,11.613480675584368,738.6345559631046,132.63484639295993,274,67.0,31,357,78,80,102,97,,1,1,1,1,1,1,1
,,8,320345,,,520345,,,320345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,567,283,145,138,0.4876325088339223,369.3560735110042,227.2477902616523,12.505778783697268,930.3428135235736,150.57266652830006,285,-23.0,31,358,84,102,77,95,,1,1,1,1,1,1,1
,,9,321345,,,521345,,,321345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,572,276,145,131,0.4746376811594203,356.14908256240693,214.07082477750328,12.324706307787704,855.3113441301543,142.01650264372986,297,44.0,32,354,100,80,97,77,,1,1,1,1,1,1,1
,,10,322345,,,522345,,,322345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,561,297,175,122,0.4107744107744108,318.6640670364746,206.95504722574265,12.841325965380715,817.9277490826569,126.82927581498983,264,461.0,23,351,82,87,105,77,,1,1,1,1,1,1,1
,,11,323345,,,523345,,,323345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,527,255,107,148,0.5803921568627451,409.74527979284073,220.26951589247622,9.889845300335054,944.3990502505563,148.23287656560672,274,-509.0,33,351,87,89,89,86,,1,1,1,1,1,1,1
,,12,324345,,,524345,,,324345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,539,278,147,131,0.4712230215827338,334.63720885450846,171.05805963786077,11.679415142383341,786.6909155276087,120.2577648862026,262,85.0,25,358,87,83,84,104,,1,1,1,1,1,1,1
,,13,325345,,,525345,,,325345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,573,278,141,137,0.49280575539568344,374.4930816626365,215.26460227501093,11.314777878645003,859.577438258006,150.52665345943666,295,-50.0,30,357,92,87,87,91,,1,1,1,1,1,1,1
,,14,326345,,,526345,,,326345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,535,281,147,134,0.47686832740213525,352.6281938482223,204.25102642914953,12.17802885191329,925.2699522281324,133.06154947202782,255,28.0,34,357,90,100,81,86,,1,1,1,1,1,1,1
,,15,327345,,,527345,,,327345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,556,294,155,139,0.47278911564625853,353.14566274813654,206.16073381497662,16.51933521675658,756.7291153280273,136.6186340765332,264,103.0,19,357,84,82,105,86,,1,1,1,1,1,1,1
,,16,328345,,,528345,,,328345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,528,276,137,139,0.5036231884057971,351.2042412770278,188.38324908749496,9.866113810889903,746.1177534678753,129.12384642981777,252,-146.0,42,355,88,84,109,74,,1,1,1,1,1,1,1
,,17,329345,,,529345,,,329345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,512,284,161,123,0.43309859154929575,315.89799490975565,183.26612404868095,9.879101366234648,769.9970701127662,110.08996564603814,229,281.0,33,358,93,87,96,82,,1,1,1,1,1,1,1
,,18,330345,,,530345,,,330345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,613,276,121,155,0.5615942028985508,412.6178345271941,228.892468717419,12.104969750158673,963.3486819319264,175.8695387715625,338,-424.0,28,355,85,101,82,87,,1,1,1,1,1,1,1
,,19,331345,,,531345,,,331345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,528,278,185,93,0.3345323741007194,317.0927296447786,198.29331612966834,10.715534145572903,797.2663971487932,122.75888545668477,250,836.0,28,358,96,90,80,92,,1,1,1,1,1,1,1
,,20,332345,,,532345,,,332345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,595,283,143,140,0.49469964664310956,381.3538701840415,219.0591187415628,11.902551930267954,859.318060766275,159.54872356859133,313,-69.0,33,355,102,91,87,75,,1,1,1,1,1,1,1
,,21,333345,,,533345,,,333345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,531,272,160,112,0.4117647058823529,329.20135842689973,204.55268738123274,11.350712639490974,841.8381815849126,123.75041321105593,262,354.0,42,348,90,94,80,84,,1,1,1,1,1,1,1
,,22,334345,,,534345,,,334345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,554,283,137,146,0.5159010600706714,376.97117884424694,203.54185140647422,9.86054462359245,811.802758103189,142.12413425519992,272,-189.0,33,359,114,81,84,80,,1,1,1,1,1,1,1
,,23,335345,,,535345,,,335345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,521,283,164,119,0.4204946996466431,307.52844768693114,184.77148082821188,11.00075071128366,783.6600889306693,114.11354165497497,238,345.0,35,357,86,83,81,107,,1,1,1,1,1,1,1
,,24,336345,,,536345,,,336345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,576,279,137,142,0.5089605734767025,383.7436456280084,208.86202233645972,10.049527712952708,875.7730294982384,149.7635530452347,297,-116.0,22,359,93,90,84,92,,1,1,1,1,1,1,1
,,25,337345,,,537345,,,337345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,558,288,154,134,0.4652777777777778,339.9590552924657,191.84878515024081,10.287700534497965,825.471905079745,134.83492285531082,270,122.0,26,356,80,94,96,86,,1,1,1,1,1,1,1
,,26,338345,,,538345,,,338345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,505,283,196,87,0.30742049469964666,277.1843134666413,170.49676809123517,12.619527665270262,793.3082527294342,101.01474452687904,223,1003.0,29,358,90,96,84,88,,1,1,1,1,1,1,1
,,27,339345,,,539345,,,339345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,556,280,147,133,0.475,343.99935658429285,211.9728706712524,18.86643466134458,924.2540563716406,132.8785693544596,278,50.0,30,358,97,77,83,101,,1,1,1,1,1,1,1
,,28,340345,,,540345,,,340345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,570,290,157,133,0.4586206896551724,353.1414848568854,189.84167449457658,11.7425146016126,795.1225576048585,135.13095355104335,280,174.0,22,357,93,82,91,91,,1,1,1,1,1,1,1
,,29,341345,,,541345,,,341345,1440,4,8,0.9,175.214912,120.0,295.214912,random,False,,simulation ended,572,286,137,149,0.5209790209790209,366.43098063586876,200.8823074559259,12.492307912519305,824.6603708990451,146.04426334596488,287,-216.0,32,360,96,100,95,69,,1,1,1,1,1,1,1
